name,price,spec_score,display_inches,pixel_resolution,network_connection,smart_tv,speakers,processor,viewing_angle,misc
Sansui JSY32NSHD 32 Inch HD Ready LED TV,"₹9,999",32,"32 in, LED TV",1366 x 768 pixels,Smart TV: No,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",3D TV: No,"60 Hz, 16:9 Ratio"
Hisense 50A6GE 50 inch Ultra HD 4K Smart LED TV,"₹31,990",73,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Akai AKLT32S-DFL9W 32 inch HD Ready Smart LED TV,"₹10,299",50,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Akai AKLT55U-F7VSW 55 inch Ultra HD 4K Smart LED TV,"₹32,999",72,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 3 USB Ports"
Sony Bravia XR-75X90K 75 inch Ultra HD 4K Smart Full Array LED TV,"₹2,32,990",75,"75 in, Full Array LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,Cognitive Processor XR Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",Supports Apps & Games
Vu Premium 75QPC 75 inch Ultra HD 4K Smart QLED TV,"₹98,990",76,"75 in, QLED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"4 Speakers, 40 w Output","Quad Core Processor Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports"
Coocaa 32S7G 32 inch HD Ready Smart LED TV,"₹10,499",49,"31.5 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","ARM A55 Quad Core, 1.5 GHz Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Sony X74 KD-43X74 43 inch Ultra HD 4K Smart LED TV,"₹43,999",69,"42.52 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",4K Processor X1 Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Foxsky 50FS-VS 50-inch Ultra HD 4K Smart LED TV,"₹21,999",65,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,30 w Output,"Quad Core Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Lloyd 32HS550C 32-inch HD Ready Smart LED TV,"₹16,599",47,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Kodak CA Pro 43CAPRO5022 43-inch Ultra HD 4K Smart LED TV,"₹21,999",69,"42.52 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output","A53 x 4-1.5 GHz Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
HiSense U6G 65 inch Ultra HD 4K Smart QLED TV (65U6G),"₹79,949",77,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Quad Core Cortex-A53 x 4 64 Bit Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Westinghouse WH43SP99 43 Inch Full HD Smart LED TV,"₹14,999",53,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","ARM Cortex-A53 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG 32LM562BPTA 32-inch HD Ready Smart LED TV,"₹15,490",43,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 10 w Output",Quad Core Processor,180 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
LG 43LM5620PTA 43 Inch Full HD Smart LED TV,"₹34,490",48,"43 in, LED TV","Full HD, 1920 x 1080 pixels",Ethernet,Smart TV,"2 Speakers, 20 w Output",Quad Core Processor 4K Processor,178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
iFFALCON by TCL 32F52 32 inch HD Ready LED Smart TV,"₹10,999",45,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 10 w Output","ARM Cortex-A53 Processor, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
LG 32LT340CBTB 32-inch Essential Commercial HD Ready LED TV,"₹15,990",31,"32 in, LED TV",1366 x 768 pixels,"2 Speakers, 10 w Output",178 ° Viewing Angle,"1 HDMI Ports, 1 USB Ports","60 Hz, 16:9 Ratio",,
Hisense 32A4G 32-inch HD Ready Smart LED TV,"₹13,490",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",3D TV: No
Candes CTPL32EFN 32-inch HD Ready Smart LED TV,"₹7,440",49,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",1 GB RAM,178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
BPL 43F-A4300 43-inch HD Ready Smart LED TV,"₹27,600",53,"43 in, LED TV","Full HD, 1920 x 1080 pixels",Wifi,Smart TV,"2 Speakers, 18 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Xiaomi Redmi L43M6-RA 43-inch Full HD Smart LED TV,"₹23,999",55,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad core A35 CPU Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Thomson 9R Pro 50PATH1010BL 50-inch Ultra HD 4K Smart LED TV,"₹24,999",70,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output","ARM Cortex A53 Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Philips 7600 Series 58PUT7605 58-inch Ultra HD 4K Smart LED TV,"₹43,999",75,"58 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Mali G51 Processor, 2 GB RAM, 4 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG OLED48A1PTZ 48-inch Ultra HD 4K Smart OLED TV,"₹71,999",76,"48 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Quad Core Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG 55UP7550PTZ 55-inch Ultra HD 4K Smart LED TV,"₹49,990",66,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Intelligent Quad Core Processor 4K Processor,178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
Onida 55UIF 55-inch Ultra 4K HD Smart LED TV,"₹36,990",75,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Philips 43PFT6915/94 43-inch Full HD Smart LED TV,"₹25,589",60,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 16 w Output","Mali 470 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG OLED55G1PTZ 55-inch Ultra HD 4K Smart OLED TV,"₹1,24,990",83,"55 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 60 w Output",178 ° Viewing Angle,"4 HDMI Ports, 3 USB Ports",3D TV: No
LG OLED65C1PTZ 65-inch Ultra HD 4K Smart OLED TV,"₹1,69,990",84,"65 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output",178 ° Viewing Angle,"4 HDMI Ports, 3 USB Ports",3D TV: No
Coocaa 32S3U Pro 32 -inch HD Ready Smart LED TV,"₹8,999",45,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core A35 x 4 Processor, 512 MB RAM, 4 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
Xiaomi Mi TV 6 55-inch Ultra HD 4K Smart OLED TV,"₹65,499",78,"55 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 25 w Output","Cortex A73 Processor, 3 GB RAM, 32 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Xiaomi Mi TV 6 65-inch Ultra HD 4K Smart OLED TV,"₹88,360",81,"65 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 25 w Output","Cortex A73 Processor, 3 GB RAM, 32 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG 43UP7740PTZ 43-inch Ultra HD 4K Smart LED TV,"₹35,990",64,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports",3D TV: No
Blaupunkt Cybersound 50CSA7007 50-inch Ultra HD 4K Smart LED TV,"₹27,999",74,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 60 w Output","ARM Cortex A53  Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 3 USB Ports"
iFFALCON by TCL 55K72 55-inch Ultra HD 4K Smart LED TV,"₹31,999",70,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output",A55 Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Candes F43S001 43-inch Ultra HD 4K Smart LED TV,"₹16,990",64,"42.52 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",1 GB RAM,178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
LG 55UP7500PTZ 55-inch Ultra HD 4K Smart LED TV,"₹49,990",68,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
LG 43UP7500PTZ 43-inch Ultra HD 4K Smart LED TV,"₹32,990",64,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports"
LG 43UP7750PTZ 43-inch Ultra HD 4K Smart LED TV,"₹31,990",64,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports",3D TV: No
Sony Bravia KD-55X85J 55-inch Ultra HD 4K Smart LED TV,"₹81,699",79,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",16 GB Storage,178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports"
Infinix 40X1 40-inch Full HD Smart LED TV,"₹18,999",56,"40 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","MTK 6683 Processor, 1 GB RAM, 8 GB Storage",170 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Itel G4334IE 43-inch Ultra HD 4K Smart LED TV,"₹32,999",67,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output","Cortex A53 Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Panasonic TH-65JX750DX 65-inch Ultra HD 4K Smart LED TV,"₹82,500",75,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Blaupunkt 55CSA7090 55-inch Ultra HD 4K Smart LED TV,"₹31,999",72,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 60 w Output","A53 x 4-1.5 GHz Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Hisense Tornado 65-inch Ultra HD 4K Smart LED TV,"₹56,990",77,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"6 Speakers, 102 w Output","Cortex-A53  Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung QA55QN85AAKLXL 55-inch Ultra HD 4K Smart Neo QLED TV,"₹1,19,990",77,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 60 w Output",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports",3D TV: No
Panasonic Viera TH-42JS650DX 42-inch Full HD Smart LED TV,"₹34,170",56,"42 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Panasonic Viera TH-43JX660DX 43 inch Ultra HD 4K Smart LED TV,"₹29,990",68,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Panasonic Viera TH-42JS660DX 42-inch Full HD Smart LED TV,"₹34,490",56,"42 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Sony Bravia KD-55X80J 55-inch Ultra HD 4K Smart LED TV,"₹81,900",74,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",4K HDR Processor X1 Processor,178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports"
Xiaomi Mi TV ES 2022 55-inch Ultra HD 4K Smart LED TV,"₹39,990",72,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 23 w Output","Cortex A55 Processor, 2 GB RAM, 32 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Xiaomi Mi TV 6 Extreme Edition 55-inch Ultra HD 4K Smart QLED TV,"₹68,999",79,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,90 w Output,"Cortex A73 Processor, 4.5 GB RAM, 64 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung 75AU8000 75-inch Ultra HD 4K Smart LED TV,"₹1,39,990",80,"75 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Quad Core Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung Crystal 4K Pro UA58AUE70AKLXL 58-inch Ultra HD 4K Smart LED TV,"₹50,990",68,"58 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",Crystal Processor 4K Processor,178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports"
Samsung Crystal 65AU7500 65-inch Ultra HD 4K Smart LED TV,"₹79,690",74,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports",3D TV: No
Samsung 8 Series UA50AU8000KL 50-inch Ultra HD 4K Smart LED TV,"₹54,990",69,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Quad Core Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung The Frame QA43LS03AAKLXL 43-inch Ultra HD 4K Smart QLED TV,"₹51,990",71,"43 in, QLED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports",3D TV: No
Samsung The Frame QA50LS03AAKLXL 50-inch Ultra HD 4K Smart QLED TV,"₹59,990",72,"50 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports",3D TV: No
Samsung The Frame QA55LS03AAKLXL 55-inch Ultra HD 4K Smart QLED TV,"₹75,990",76,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 40 w Output",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports",3D TV: No
Sony Bravia X80J KD-75X80J 75-inch Ultra HD 4K Smart LED TV,"₹1,49,990",77,"75 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports",3D TV: No
Sony X75 KD-50X75 50-inch Ultra HD 4K Smart LED TV,"₹53,990",69,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Samsung Crystal 4K Pro UA55AUE70AKLXL 55-inch Ultra HD 4K Smart LED TV,"₹47,990",68,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",Crystal Processor 4K Processor,178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports"
Xiaomi Mi Q1 75-inch Ultra HD 4k Smart QLED TV,"₹1,44,999",82,"75 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"6 Speakers, 30 w Output","A55  Processor, 2 GB RAM, 32 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Sony 32W830 32-inch HD Ready Smart LED TV,"₹24,990",54,"31.5 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","X-Reality Pro Processor, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Skywall 32SW 32-inch Full HD Smart LED TV,"₹8,299",47,"32 in, LED TV","Full HD, 1920 x 1080 pixels",Wifi,Smart TV,"2 Speakers, 30 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",3D TV: No
Skywall 40SWFHS 40-inche Full HD LED Smart TV,"₹13,299",49,"40 in, LED TV","Full HD, 1920 x 1080 pixels",Wifi,Smart TV,"2 Speakers, 30 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",3D TV: No
VW VW32 PRO 32-inch HD Ready LED Smart TV,"₹8,999",46,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports",3D TV: No
Philips 43PFT6815/94 43-inch Full HD Smart LED TV,"₹26,950",51,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 16 w Output",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports",3D TV: No
Lloyd 43US900B 43 inch Ultra HD 4K Smart LED TV,"₹33,490",61,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Smart TV,"2 Speakers, 20 w Output",Quad Core Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Croma CREL7364 32-inch HD Ready Smart LED TV,"₹10,990",44,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output","1 GB RAM, 8 GB Storage","2 HDMI Ports, 1 USB Ports",Supports Apps & Games
Hisense 58A71F 58-inch Ultra HD 4K Smart LED TV,"₹43,490",73,"58 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output",2 GB RAM,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Thomson 43PATH0009 43-inch Full HD Smart LED TV,"₹16,999",56,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output","ARM Cortex-A53 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Kodak 42FHDX7XPRO 42-inch Full HD Smart LED TV,"₹15,499",53,"42 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","ARM Cortex-A53 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Coocaa 55S6G Pro 55-inch Ultra HD 4K Smart LED TV,"₹32,999",70,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Cortex A53 Processor, 2 GB RAM, 32 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
AmazonBasics AB32E10SS Fire TV Edition 32-inch HD Ready Smart LED TV,"₹12,299",50,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Sansui JSW43ASFHD 43-inch Full HD Smart LED TV,"₹20,999",52,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","CA53 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Vu Masterpiece 85-inch Ultra HD 4K Smart QLED TV,"₹2,39,999",84,"85 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"6 Speakers, 50 w Output","Quad Core Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports"
Oppo TV R1 65-inch Ultra HD 4K Smart LED TV,"₹49,990",68,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output","2 GB RAM, 32 GB Storage",178 ° Viewing Angle,"1 HDMI Ports, 2 USB Ports"
Sanyo Kaizen Series XT-50UHD4S 50-inch Ultra HD 4K Smart LED TV,"₹24,999",72,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Sony XBR-75Z8H 75-inch Ultra HD 8K Smart LED TV,"₹4,40,999",82,75 in,"8K Resolution, 7680 x 4320 pixels","Wifi, Ethernet",Smart TV,"6 (Speakers and Amplifier) Speakers, 60 w Output","Quad Core Processor, 16 GB Storage",178 ° Viewing Angle,"4 HDMI Ports, 3 USB Ports"
Xiaomi Mi TV Lux Pro 82-inch Ultra HD 8K Smart OLED TV,"₹5,41,990",92,"82 in, OLED TV","8K Resolution, 7689 x 4320 pixels","Wifi, Ethernet",Smart TV,"8 Speakers, 60 w Output","Novatek 72685  Processor, 4 GB RAM, 256 GB Storage","Ultra Slim, 178 ° Viewing Angle","3 HDMI Ports, 2 USB Ports"
Xiaomi Redmi TV A50 50-inch Ultra HD 4K Smart LED TV,"₹22,990",65,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Xiaomi Redmi TV A55 55-inch Ultra HD 4K Smart LED TV,"₹25,990",66,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","MediaTek 9632  Processor, 1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Toshiba 50U5050 50-inch Ultra HD 4K Smart LED TV,"₹24,999",67,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Cortex-A53  Processor, 1.5 GB RAM, 4 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
TCL 32S65A 32-inch HD Ready Smart LED TV,"₹15,780",45,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 10 w Output","CA53  Processor, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
TCL 55P715 55-inch Ultra HD 4K Smart QLED TV,"₹40,990",67,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"4 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
Haier LE32W2000 32-inch HD Ready Smart LED TV,"₹14,270",45,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports",3D TV: No
LG OLED55BXPTA 55-inch Ultra HD 4K Smart OLED TV,"₹94,999",81,"55 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output",178 ° Viewing Angle,"4 HDMI Ports, 3 USB Ports",3D TV: No
Thomson 9A Series 40PATH7777 40-inch Full HD Smart LED TV,"₹15,499",52,"40 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","ARM Cortex A53 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Kodak 43FHDX7XPRO 43-inch Full HD Smart LED TV,"₹16,499",53,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","ARM Cortex-A53 Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Hisense 43A71F 43-inch Ultra HD 4K  Smart LED TV,"₹23,990",64,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports",3D TV: No
